,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
14230,37182830,Le Joux - Luxury 6 bedrooms villa in Jóa with Pool,277635751,Le Joux,Joá,-23.01057,-43.29136,Espaço Inteiro,9429,3,3,1,343
14231,37183960,PACHAMAMA HOSTEL,89535078,Mirela Junia,Paquetá,-22.75469,-43.10628,Quarto Compartilhado,90,1,4,1,360
14232,37184680,alugo quarto p Rock in Rio e fim de ano e carnaval,279854014,Patrícia,Jacarepaguá,-22.9741,-43.41185,Quarto Inteiro,250,1,0,1,362
14233,37188332,"COBERTURA SOL DA MANHÃ, 220M2, VISTA LATERAL PRAIA",279917377,Nelson,Recreio dos Bandeirantes,-23.02707,-43.46332,Espaço Inteiro,1074,3,3,1,75
14234,37198044,Cantinho aconchegante estrategicamente localizado,147078258,Bruno,Botafogo,-22.95687,-43.18232,Espaço Inteiro,900,2,7,1,308
14235,37199598,Espaço Rock in Rio 2019,279999611,Rosiel,Jacarepaguá,-22.96477,-43.41043,Espaço Inteiro,350,5,0,1,180
14236,37199637,Designer  3 Bed 2.5 bath Jucuzzi/BBQ,24581913,Pierre And Vagner,Recreio dos Bandeirantes,-23.01608,-43.45604,Espaço Inteiro,1148,3,37,1,295
14237,37209115,Quarto em Condomínio de Luxo na Barra da Tijuca,205028918,Arlene,Camorim,-22.98218,-43.41131,Quarto Inteiro,214,1,19,1,281
14238,37210354,Conjugado aconchegante na quadra da praia posto 2,68581878,Simone,Copacabana,-22.96348,-43.17424,Espaço Inteiro,350,4,0,2,299
14239,37211147,LOFT IN LEME/COPACABANA (3 MIN TO BEACH),169174147,Marilda,Leme,-22.96507,-43.17269,Espaço Inteiro,550,3,8,1,254
14240,37213371,Próximo à praia. Cinema. Shopping. Supermercados,280138476,Mairtis,Barra da Tijuca,-23.00353,-43.32754,Espaço Inteiro,384,4,5,1,16
14241,37213570,Flat em Copacabana,148376440,Alexandre,Copacabana,-22.9608,-43.17529,Espaço Inteiro,321,2,20,2,143
14242,37213868,Lindo apartamento na Lapa,263073123,Navegantes,Santa Teresa,-22.91551,-43.18462,Espaço Inteiro,111,2,21,1,300
14243,37215883,Barra da Tijuca (Verão),15354934,Carlos,Barra da Tijuca,-23.00611,-43.4287,Espaço Inteiro,600,2,3,1,361
14244,37220647,A privacidade da sua casa c/ a comodidade do hotel,280242230,Larissa,Barra da Tijuca,-22.99975,-43.38296,Quarto Inteiro,440,7,0,1,365
14245,37235160,Casa del Mar 2,50685054,Edinho,Barra da Tijuca,-23.00871,-43.35479,Espaço Inteiro,250,2,3,2,67
14246,37237803,A melhor localização de Ipanema.,280350805,Bastos,Ipanema,-22.98531,-43.20802,Espaço Inteiro,486,6,1,2,136
14247,37238492,Casa INDISPONÍVEL,280350805,Bastos,Barra da Tijuca,-22.99913,-43.40414,Espaço Inteiro,5000,5,0,2,177
14248,37247242,Barra Palace Hotel Residencia,55409943,Gabriela,Barra da Tijuca,-23.01117,-43.38326,Espaço Inteiro,843,1,2,2,320
14249,37250077,"Quarto amplo, acomoda 2 pessoas perfeitamente.",135571648,Flávia,Vila da Penha,-22.84486,-43.30901,Quarto Compartilhado,180,1,0,1,363
14250,37253426,"Lindo apartamento amplo 1 Quarto, Copacabana,Wi-Fi",280462915,Vanessa & Anthony,Copacabana,-22.97348,-43.18851,Espaço Inteiro,707,2,14,1,256
